администрация ресторана| administration
официант| watiers
бармен| bartenders
работники кухни| kitchen-workers
туризм| tourism
агрономия| agronomy
зоотехника и ветеринария| veterinary
адвокаты| lawers
нотариусы| notaries
страхование| insurance
визажист/косметолог| makeup artist
мастер маникюра/педикюра| manicure-pedicure
парикмахер/стилист| hairdresser
танцовщицы| dancers
тренер/инструктор| trainer
аудиторство| auditing
банки/кредитование/лизинг| lease
бухгалтерия| accounting
преподаватели/репетиторы| teachers
дошкольное образование| preschool
иностранные языки| language
курсы/семинары/тренинги| trainings
дизайн и графика| design
искусство| art
развлечения| entertainment
фото/видео/аудио| photo-video
автомойка| carwash
автосервис| autoservice
водитель/экспедитор| driver
логистика/перевозки| moving
работник заправки| gas-stations
массаж| massage
медицинский персонал| hospitals
фармацевтика| farmacies
it программирование| development
it менеджмент| management
системное администрирование| network
телекоммуникации| telecommunications
ремонт компьютеров и телефонов| tech-repairs
seo| seo
инженеры/технологи производства| engineers
менеджмент производства| ingustry-maganers
швейный бизнес| sewing
рабочие на производство| production-worker
недвижимость| realty
проектирование и архитектура| architecture
производство стройматериалов| building-materials
строительные специализации| building-expertise
ведущий| host
журналистика| journalists
переводчики| tranlations
продюсер| producers
менеджер по работе с клиентами| customer-support
продавцы, кассиры| retailers
продажи по телефону (телемаркетинг)| telemarketing
торговые представители| sale-representatives
управление продажами| sales-magagement
охранник/телохранитель| bodyguard
специалист по безопасности| security
курьер| curier
удаленная работа| remote-work
няня/сиделка| home-attendant
офис-менеджер / секретарь| front-desk
разнорабочие| misc
уборщица/горничная| cleaning
психология/соц. работа| social
hr/кадры| human-resources
копирайтинг/контент-менеджмент| copywriters
маркетинг| marketing
промоутер| promoters
pr| pr
другое| other
